Intersection1,Intersection2,Distance
1st Ave and A Street,1st Ave and B Street,9999
2nd Ave and A Street,2nd Ave and B Street,1
3rd Ave and A Street,3rd Ave and B Street,9999
4th Ave and A Street,4th Ave and B Street,1
5th Ave and A Street,5th Ave and B Street,9999
6th Ave and A Street,6th Ave and B Street,1
7th Ave and A Street,7th Ave and B Street,9999
1st Ave and A Street,2nd Ave and A Street,1
2nd Ave and A Street,3rd Ave and A Street,1
3rd Ave and A Street,4th Ave and A Street,1
4th Ave and A Street,5th Ave and A Street,1
5th Ave and A Street,6th Ave and A Street,1
6th Ave and A Street,7th Ave and A Street,1
7th Ave and A Street,6th Ave and A Street,9999
6th Ave and A Street,5th Ave and A Street,9999
5th Ave and A Street,4th Ave and A Street,9999
4th Ave and A Street,3rd Ave and A Street,9999
3rd Ave and A Street,2nd Ave and A Street,9999
2nd Ave and A Street,1st Ave and A Street,9999
1st Ave and B Street,1st Ave and A Street,1
2nd Ave and B Street,2nd Ave and A Street,1
3rd Ave and B Street,3rd Ave and A Street,1
4th Ave and B Street,4th Ave and A Street,9999
5th Ave and B Street,5th Ave and A Street,1
6th Ave and B Street,6th Ave and A Street,1
7th Ave and B Street,7th Ave and A Street,1
1st Ave and B Street,2nd Ave and B Street,9999
2nd Ave and B Street,3rd Ave and B Street,9999
3rd Ave and B Street,4th Ave and B Street,9999
4th Ave and B Street,5th Ave and B Street,9999
5th Ave and B Street,6th Ave and B Street,9999
6th Ave and B Street,7th Ave and B Street,9999
7th Ave and B Street,6th Ave and B Street,1
6th Ave and B Street,5th Ave and B Street,1
5th Ave and B Street,4th Ave and B Street,1
4th Ave and B Street,3rd Ave and B Street,1
3rd Ave and B Street,2nd Ave and B Street,1
2nd Ave and B Street,1st Ave and B Street,1
1st Ave and B Street,1st Ave and C Street,9999
2nd Ave and B Street,2nd Ave and C Street,1
3rd Ave and B Street,3rd Ave and C Street,9999
4th Ave and B Street,4th Ave and C Street,1
5th Ave and B Street,5th Ave and C Street,9999
6th Ave and B Street,6th Ave and C Street,1
7th Ave and B Street,7th Ave and C Street,9999
1st Ave and C Street,1st Ave and B Street,1
2nd Ave and C Street,2nd Ave and B Street,1
3rd Ave and C Street,3rd Ave and B Street,1
4th Ave and C Street,4th Ave and B Street,9999
5th Ave and C Street,5th Ave and B Street,1
6th Ave and C Street,6th Ave and B Street,1
7th Ave and C Street,7th Ave and B Street,1
1st Ave and C Street,2nd Ave and C Street,1
2nd Ave and C Street,3rd Ave and C Street,1
